node_id,node_type,label,type,date_added,release_year,rating,duration,description
163,person,Antoine Bardou-Jacquet,director,,,,,
164,person,Ron Perlman,cast,,,,,
165,person,Rupert Grint,cast,,,,,
166,person,Robert Sheehan,cast,,,,,
167,person,Stephen Campbell Moore,cast,,,,,
168,person,Eric Lampaert,cast,,,,,
169,person,Kevin Bishop,cast,,,,,
170,person,Tom Audenaert,cast,,,,,
171,person,Erika Sainte,cast,,,,,
172,show,Rolling Papers,Movie,,2015,TV-MA,79 min,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture."
173,person,Mitch Dickman,director,,,,,
174,country,Uruguay,,,,,,
175,category,Documentaries,,,,,,
176,show,Stonehearst Asylum,Movie,,2014,PG-13,113 min,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
177,person,Brad Anderson,director,,,,,
178,person,Kate Beckinsale,cast,,,,,
179,person,David Thewlis,cast,,,,,
180,person,Brendan Gleeson,cast,,,,,
181,person,Ben Kingsley,cast,,,,,
182,person,Michael Caine,cast,,,,,
183,person,Jason Flemyng,cast,,,,,
184,person,Sophie Kennedy Clark,cast,,,,,
185,person,Sinéad Cusack,cast,,,,,
186,person,Edmund Kingsley,cast,,,,,
187,category,Horror Movies,,,,,,
188,show,The Runner,Movie,,2015,R,90 min,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
189,person,Austin Stark,director,,,,,
190,person,Nicolas Cage,cast,,,,,
191,person,Sarah Paulson,cast,,,,,
192,person,Connie Nielsen,cast,,,,,
193,person,Wendell Pierce,cast,,,,,
194,person,Bryan Batt,cast,,,,,
195,person,Peter Fonda,cast,,,,,
196,person,Dana Gourrier,cast,,,,,
197,show,6 Years,Movie,,2015,NR,80 min,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
198,person,Hannah Fidell,director,,,,,
199,person,Taissa Farmiga,cast,,,,,
200,person,Ben Rosenfield,cast,,,,,
201,person,Lindsay Burdge,cast,,,,,
202,person,Joshua Leonard,cast,,,,,
203,person,Jennifer Lafleur,cast,,,,,
204,person,Peter Vack,cast,,,,,
205,person,Dana Wheeler-Nicholson,cast,,,,,
206,person,Jason Newman,cast,,,,,
207,person,Molly McMichael,cast,,,,,
208,show,Castle of Stars,TV Show,,2015,TV-14,1 Season,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life."
209,person,Chaiyapol Pupart,cast,,,,,
210,person,Jintanutda Lummakanon,cast,,,,,
211,person,Worrawech Danuwong,cast,,,,,
212,person,Ornjira Lamwilai,cast,,,,,
213,person,Yong Armchair,cast,,,,,
214,person,Keerati Mahapreukpong,cast,,,,,
215,person,Akarat Nimitchai,cast,,,,,
216,person,Kornpassorn Duaysianklao,cast,,,,,
217,person,Nattapong Chartpong,cast,,,,,
218,category,Romantic TV Shows,,,,,,
219,category,TV Comedies,,,,,,
220,show,City of Joy,Movie,,2018,TV-MA,77 min,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment."
221,person,Madeleine Gavin,director,,,,,
222,country,"United States,",,,,,,
223,show,First and Last,TV Show,,2018,TV-MA,1 Season,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
224,show,Laddaland,Movie,,2011,TV-MA,112 min,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity."
225,person,Sopon Sukdapisit,director,,,,,
226,person,Saharat Sangkapreecha,cast,,,,,
227,person,Pok Piyatida Woramusik,cast,,,,,
228,person,Sutatta Udomsilp,cast,,,,,
229,person,Athipich Chutiwatkajornchai,cast,,,,,
230,person,Deuntem Salitul,cast,,,,,
231,person,Sahajak Boonthanakit,cast,,,,,
232,country,Thailand,,,,,,
233,show,Next Gen,Movie,,2018,TV-PG,106 min,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
234,person,Kevin R. Adams,director,,,,,
235,person,Joe Ksander,director,,,,,
236,person,John Krasinski,cast,,,,,
237,person,Charlyne Yi,cast,,,,,
238,person,Jason Sudeikis,cast,,,,,
239,person,Michael Peña,cast,,,,,
240,person,David Cross,cast,,,,,
241,person,Constance Wu,cast,,,,,
242,show,Sierra Burgess Is A Loser,Movie,,2018,PG-13,106 min,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
243,person,Ian Samuels,director,,,,,
244,person,Shannon Purser,cast,,,,,
245,person,Kristine Froseth,cast,,,,,
246,person,RJ Cyler,cast,,,,,
247,person,Noah Centineo,cast,,,,,
248,person,Loretta Devine,cast,,,,,
249,person,Giorgia Whigham,cast,,,,,
250,person,Alice Lee,cast,,,,,
251,person,Lea Thompson,cast,,,,,
252,person,Alan Ruck,cast,,,,,
253,person,Mary Pat Gleason,cast,,,,,
254,person,Chrissy Metz,cast,,,,,
255,show,The Most Assassinated Woman in the World,Movie,,2018,TV-MA,102 min,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
256,person,Franck Ribière,director,,,,,
257,person,Anna Mouglalis,cast,,,,,
258,person,Niels Schneider,cast,,,,,
259,person,André Wilms,cast,,,,,
260,person,Michel Fau,cast,,,,,
261,person,Sissi Duparc,cast,,,,,
262,person,Jean-Michel Balthazar,cast,,,,,
263,person,Julie Recoing,cast,,,,,
264,person,Eric Godon,cast,,,,,
265,person,Maya Coline,cast,,,,,
266,person,Constance Dollé,cast,,,,,
267,show,Cézanne et moi,Movie,,2016,R,114 min,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
268,person,Daniele Thompson,director,,,,,
269,person,Guillaume Canet,cast,,,,,
270,person,Guillaume Gallienne,cast,,,,,
271,person,Alice Pol,cast,,,,,
272,person,Déborah François,cast,,,,,
273,person,Sabine Azéma,cast,,,,,
274,person,Freya Mavor,cast,,,,,
275,person,Isabelle Candelier,cast,,,,,
276,person,Laurent Stocker,cast,,,,,
277,show,Archibald's Next Big Thing,TV Show,,2019,TV-Y7,1 Season,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
278,person,Tony Hale,cast,,,,,
279,person,Rosamund Pike,cast,,,,,
280,person,Jordan Fisher,cast,,,,,
281,person,Chelsea Kane,cast,,,,,
282,person,Adam Pally,cast,,,,,
283,person,Kari Wahlgren,cast,,,,,
284,show,Article 15,Movie,,2019,TV-MA,125 min,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
285,person,Anubhav Sinha,director,,,,,
286,person,Ayushmann Khurrana,cast,,,,,
287,person,Nassar,cast,,,,,
288,person,Manoj Pahwa,cast,,,,,
289,person,Kumud Mishra,cast,,,,,
290,person,Isha Talwar,cast,,,,,
291,person,Sayani Gupta,cast,,,,,
292,person,Mohammed Zeeshan Ayyub,cast,,,,,
293,person,Subhrajyoti Barat,cast,,,,,
294,person,Sushil Pandey,cast,,,,,
295,person,Aakash Dabhade,cast,,,,,
296,show,Care of Kancharapalem,Movie,,2018,TV-14,142 min,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
297,person,Maha Venkatesh,director,,,,,
298,person,Subba Rao Vepada,cast,,,,,
299,person,Radha Bessy,cast,,,,,
300,person,Kesava Karri,cast,,,,,
301,person,Nithyasri Goru,cast,,,,,
302,person,Karthik Rathnam,cast,,,,,
303,person,Praneetha Patnaik,cast,,,,,
304,person,Mohan Bhagath,cast,,,,,
305,person,Praveena Paruchuri,cast,,,,,
306,show,Ee Nagaraniki Emaindi,Movie,,2018,TV-14,133 min,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
307,person,Tharun Bhascker,director,,,,,
308,person,Vishwaksen Naidu,cast,,,,,
309,person,Sushanth Reddy,cast,,,,,
310,person,Abhinav Gomatam,cast,,,,,
311,person,Venkatesh Kakumanu,cast,,,,,
312,person,Anisha Ambrose,cast,,,,,
313,person,Simran Choudhary,cast,,,,,
314,show,Kill Me If You Dare,Movie,,2019,TV-14,100 min,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
315,person,Şenol Sönmez,director,,,,,
316,person,Murat Boz,cast,,,,,
317,person,Seda Bakan,cast,,,,,
318,person,Açelya Topaloğlu,cast,,,,,
319,person,Özgür Emre Yıldırım,cast,,,,,
320,person,Seda Güven,cast,,,,,
321,person,Yosi Mizrahi,cast,,,,,
322,person,Dilşad Şimşek,cast,,,,,
323,person,Ali Yoğurtçuoğlu,cast,,,,,
324,show,The Spy,TV Show,,2019,TV-MA,1 Season,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad."
325,person,Sacha Baron Cohen,cast,,,,,
326,person,Noah Emmerich,cast,,,,,
327,person,Hadar Ratzon Rotem,cast,,,,,
328,person,Alexander Siddig,cast,,,,,
329,person,Waleed Zuaiter,cast,,,,,
330,person,Nassim Lyes,cast,,,,,
331,category,TV Dramas,,,,,,
332,category,TV Thrillers,,,,,,
333,show,Hell and Back,Movie,,2015,R,86 min,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
334,person,Tom Gianas,director,,,,,
335,person,Ross R. Shuman,director,,,,,
336,person,Nick Swardson,cast,,,,,
337,person,Mila Kunis,cast,,,,,
338,person,Bob Odenkirk,cast,,,,,
339,person,T.J. Miller,cast,,,,,
